Game,Player.min,Player.max,Play.time,Min.age,Random.chance,Category,Description
Backgammon,2,2,0.5,8,Medium,Abstract,"Backgammon is one of the oldest board games for two players. The playing pieces are moved according to the roll of dice, and a player wins by removing all of his pieces from the board before his opponent. Although luck is one of the determining factors in the outcome, strategy plays a more important role in the long run. In variants that originate from early 20th century New York, players may raise the stakes during the game. "
Chess,2,2,1,6,None,Abstract,"Chess is a two-player strategy board game played on a chessboard, a checkered gameboard with 64 squares arranged in an eight-by-eight grid. Pieces are used to attack and capture the opponent's pieces, with the objective to 'checkmate' the opponent's king by placing it under an inescapable threat of capture. "
Go,2,2,1.5,5,None,Abstract,"Go is a two-player board game that originated in China more than 2,500 years ago. Two players lay stones on a 19x19 grid, but once the basic rules are understood there are incredible depths to the strategy involved in this game."
Candy Land,2,4,0.5,3,Complete,Children,"Candy Land is a simple racing board game along a linear track. The game requires no reading and minimal counting, so it suitable for young children. No strategy is involved - players just have to follow the directions (think ""Snakes and Ladders""). "
Mousetrap,2,4,0.5,6,High,Children,"Over the course of the game, players at first cooperate to build a working Rube Goldberg-like mouse trap. Once the mouse trap has been built, players turn against each other, attempting to trap opponents' mouse-shaped game pieces."
Operation,1,6,0.5,6,Low,Children,"Operation is a battery operated game that tests players hand-eye coordination and fine motor skills.   It consists of an ""operating table"", lithographed with a comic likeness of a patient with a large red lightbulb for his nose. In the surface are a number of openings, which reveal cavities filled with fictional and humorously named ailments made of plastic. The general gameplay requires players to remove these plastic ailments with a pair of tweezers without touching the edge of the cavity opening."
Sorry!,2,4,0.5,6,High,Children,"Sorry! is a board game where players try to travel around the board  with their pieces faster than any other players. The game title comes from the many ways in which a player can negate the progress of another, while issuing an apologetic ""Sorry!"""
Last Night on Earth: The Zombie Game,2,6,1.5,12,Medium,Cooperative,"Last Night on Earth is a survival horror game that pits small-town Heroes head-to-head against a horde of Zombies. The ""Heroes"" team wins by killing 15 zombies, while the ""Zombies"" team wins by killing 4 heroes or lasting for 15 rounds."
Shadows Over Camelot,3,7,1.5,10,Medium,Cooperative,"Shadows Over Camelot is a cooperative board game set in the time of King Arthur. As Knights of the Round Table, players attempt to complete quests to keep back the forces of evil. The game also includes on player as a secret ""Traitor"", who wins the game if the forces of evil prevail. "
Forbidden Island,2,4,0.5,8,Medium,Cooperative,"Forbidden Island is a visually stunning 'cooperative' board game. Instead of winning by competing with other players like most games, everyone must work together to win the game. As the game progresses, more and more island tiles sink, becoming unavailable, and the pace increases. Players use strategies to keep the island from sinking, while trying to collect treasures and items."
Forbidden Island,2,4,0.5,8,Medium,Family,"Forbidden Island is a visually stunning 'cooperative' board game. Instead of winning by competing with other players like most games, everyone must work together to win the game. As the game progresses, more and more island tiles sink, becoming unavailable, and the pace increases. Players use strategies to keep the island from sinking, while trying to collect treasures and items."
Pandemic,2,4,1,10,Medium,Cooperative,"In Pandemic,  several virulent diseases have broken out simultaneously all over the world! The players are disease-fighting specialists whose mission is to treat disease hotspots while researching cures for each of four plagues before they get out of hand. Taking a unique role within the team, players must plan their strategy to mesh with their specialists' strengths in order to conquer the diseases. If one or more diseases spreads beyond recovery or if too much time elapses, the players all lose. If they cure the four diseases, they all win!"
Pandemic,2,4,1,10,Medium,Family,"In Pandemic,  several virulent diseases have broken out simultaneously all over the world! The players are disease-fighting specialists whose mission is to treat disease hotspots while researching cures for each of four plagues before they get out of hand. Taking a unique role within the team, players must plan their strategy to mesh with their specialists' strengths in order to conquer the diseases. If one or more diseases spreads beyond recovery or if too much time elapses, the players all lose. If they cure the four diseases, they all win!"
Pandemic,2,4,1,10,Medium,Strategy,"In Pandemic,  several virulent diseases have broken out simultaneously all over the world! The players are disease-fighting specialists whose mission is to treat disease hotspots while researching cures for each of four plagues before they get out of hand. Taking a unique role within the team, players must plan their strategy to mesh with their specialists' strengths in order to conquer the diseases. If one or more diseases spreads beyond recovery or if too much time elapses, the players all lose. If they cure the four diseases, they all win!"
Carcassone,2,5,1,8,Medium,Family,"In Carcassone, players take turns placing tiles to build a map set in medieval France. With tile placement, players can choose to place a ""meeple"" as a farmer, robber, monk, or knight to gain points. This game greatly increases in strategic complexity with the addition of expansions."
Monopoly,2,6,3,8,High,Family,"Monopoly, ""The Fast-Dealing Property Trading Game"", is named after the economic concept of monopoly—the domination of a market by a single entity. Players move around the gameboard buying or trading properties, developing their properties with houses and hotels, and collecting rent from their opponents, the ultimate goal being to drive them into bankruptcy."
Qwirkle,2,4,0.5,6,Medium,Family,"Qwirkle is somewhat like Scrabble, but with shapes and colours instead of letters! Players must arrange tiles with matching shapes or colours to maximize their possible points each turn. A quick and easy-to-learn game."
Scrabble,2,4,1,8,Medium,Family,"Scrabble is a word game in which players score points by placing tiles, each bearing a single letter, onto a gameboard which is divided into a 15 by 15 grid of squares. The tiles must form words which, in crossword fashion, flow left to right in rows or downwards in columns."
The Game of Life,2,6,1,9,High,Family,"The game simulates a person's travels through his or her life, from college to retirement, with jobs, marriage, and possible children along the way. Two to six players can participate in one game. Variations of the game accommodate eight to ten players."
Ticket to Ride,2,5,1,8,Medium,Family,"Ticket to Ride is a railway-themed board game in which players aim to get the highest number of points by completing train routes (before your competitors do!) on a map of North America. Several versions of this game exist, each with its own map (e.g. Europe, India) and slight modifications to the rules."
Yahtzee,2,10,0.5,6,High,Family,"Yahtzee is a dice game made by Milton Bradley (now owned by Hasbro). The object of the game is to score the most points by rolling five dice to make certain combinations. The dice can be rolled up to three times in a turn to try to make one of the thirteen possible scoring combinations. A game consists of thirteen rounds during which the player chooses which scoring combination is to be used in that round. Once a combination has been used in the game, it cannot be used again."
Trivial Pursuit,2,6,1.5,12,Medium,Family,Trivial Pursuit is a board game in which progress is determined by a player's ability to answer general knowledge and popular culture questions.
Trivial Pursuit,2,6,1.5,12,Medium,Party ,Trivial Pursuit is a board game in which progress is determined by a player's ability to answer general knowledge and popular culture questions.
7 Wonders,2,7,1,10,Medium,Family,"7 Wonders is a draft-based card game that is played using three decks of cards and features ancient civilizations, military conflicts and commercial activity. You are the leader of one of the 7 great cities of the Ancient World. Gather resources, develop commercial routes, and affirm your military supremacy! The game is highly regarded (see BoardGameGeek.com), and many different strategies can be successful each game."
7 Wonders,2,7,1,10,Medium,Strategy,"7 Wonders is a draft-based card game that is played using three decks of cards and features ancient civilizations, military conflicts and commercial activity. You are the leader of one of the 7 great cities of the Ancient World. Gather resources, develop commercial routes, and affirm your military supremacy! The game is highly regarded (see BoardGameGeek.com), and many different strategies can be successful each game."
Settlers of Catan,3,4,0.5,10,Medium,Family,"In The Settlers of Catan, players try to be the dominant force on the island of Catan by building settlements, cities, and roads. On each turn dice are rolled to determine what resources the island produces. Players collect these resources (cards) - wood, grain, brick, sheep, or stone - to build up their civilizations to get to 10 victory points and win the game. 5-6 player expansions and theme expansions are available."
Settlers of Catan,3,4,0.5,10,Medium,Strategy,"In The Settlers of Catan, players try to be the dominant force on the island of Catan by building settlements, cities, and roads. On each turn dice are rolled to determine what resources the island produces. Players collect these resources (cards) - wood, grain, brick, sheep, or stone - to build up their civilizations to get to 10 victory points and win the game. 5-6 player expansions and theme expansions are available."
Small World,2,5,1.5,8,Medium,Family,"In Small World, players vie for conquest and control of a world that is simply too small to accommodate them all. Small World is inhabited by a zany cast of characters such as dwarves, wizards, amazons, giants, orcs, and even humans, who use their troops to occupy territory and conquer adjacent lands in order to push the other races off the face of the earth."
Small World,2,5,1.5,8,Medium,Strategy,"In Small World, players vie for conquest and control of a world that is simply too small to accommodate them all. Small World is inhabited by a zany cast of characters such as dwarves, wizards, amazons, giants, orcs, and even humans, who use their troops to occupy territory and conquer adjacent lands in order to push the other races off the face of the earth."
